A2_x,A2_y,A3_x,A3_y,A9_x,A9_y,A10_x,A10_y,B2_x,B2_y,B3_x,B3_y,B9_x,B9_y,B10_x,B10_y,C3_x,C3_y,C4_x,C4_y,C8_x,C8_y,C9_x,C9_y,D3_x,D3_y,D4_x,D4_y,D8_x,D8_y,D9_x,D9_y,E4_x,E4_y,E5_x,E5_y,E6_x,E6_y,E7_x,E7_y,E8_x,E8_y,F4_x,F4_y,F5_x,F5_y,F6_x,F6_y,F7_x,F7_y,F8_x,F8_y,G1_x,G1_y,G2_x,G2_y,G10_x,G10_y,G11_x,G11_y,G12_x,G12_y,H1_x,H1_y,H2_x,H2_y,H10_x,H10_y,H11_x,H11_y,H12_x,H12_y,Marks
0,-17749,0,-19870,0,-19268,0,-26199,0,-15815,0,-17234,0,-19019,0,-26211,0,-19924,0,-18143,0,-20057,0,-18993,0,-18402,0,-16630,0,-19706,0,-19377,0,-20945,0,-24785,0,-22642,0,-22794,0,-19282,0,-19682,0,-24653,0,-23215,0,-23787,0,-20372,0,-26190,0,-18283,0,-26216,0,-26184,0,-26184,0,-24288,0,-15974,0,-26214,0,-26189,0,-26189,0
0.1,-17835,0.1,-19969,0.1,-19282,0.1,-26186,0.1,-15897,0.1,-17330,0.1,-19037,0.1,-26205,0.1,-19932,0.1,-18147,0.1,-20061,0.1,-18981,0.1,-18438,0.1,-16632,0.1,-19723,0.1,-19440,0.1,-20940,0.1,-24796,0.1,-22669,0.1,-22816,0.1,-19300,0.1,-19566,0.1,-24579,0.1,-23126,0.1,-23705,0.1,-20289,0.1,-26112,0.1,-18275,0.1,-26210,0.1,-26185,0.1,-26185,0.1,-24266,0.1,-15946,0.1,-26207,0.1,-26198,0.1,-26198,0
0.2,-17856,0.2,-19975,0.2,-19309,0.2,-26209,0.2,-15884,0.2,-17334,0.2,-19013,0.2,-26213,0.2,-19939,0.2,-18183,0.2,-20067,0.2,-19003,0.2,-18477,0.2,-16698,0.2,-19755,0.2,-19446,0.2,-20911,0.2,-24755,0.2,-22630,0.2,-22738,0.2,-19266,0.2,-19612,0.2,-24607,0.2,-23122,0.2,-23716,0.2,-20321,0.2,-26138,0.2,-18239,0.2,-26199,0.2,-26181,0.2,-26181,0.2,-24198,0.2,-15933,0.2,-26194,0.2,-26192,0.2,-26192,0
0.3,-17819,0.3,-19954,0.3,-19308,0.3,-26209,0.3,-15898,0.3,-17301,0.3,-19039,0.3,-26215,0.3,-19925,0.3,-18142,0.3,-20020,0.3,-18994,0.3,-18481,0.3,-16725,0.3,-19752,0.3,-19458,0.3,-20843,0.3,-24705,0.3,-22591,0.3,-22705,0.3,-19202,0.3,-19619,0.3,-24579,0.3,-23098,0.3,-23677,0.3,-20357,0.3,-26093,0.3,-18226,0.3,-26203,0.3,-26181,0.3,-26181,0.3,-24230,0.3,-15953,0.3,-26209,0.3,-26201,0.3,-26201,0
0.4,-17816,0.4,-19957,0.4,-19266,0.4,-26221,0.4,-15819,0.4,-17223,0.4,-19003,0.4,-26185,0.4,-19886,0.4,-18140,0.4,-20014,0.4,-18919,0.4,-18391,0.4,-16627,0.4,-19723,0.4,-19422,0.4,-20921,0.4,-24754,0.4,-22608,0.4,-22738,0.4,-19254,0.4,-19633,0.4,-24620,0.4,-23144,0.4,-23748,0.4,-20321,0.4,-26171,0.4,-18195,0.4,-26210,0.4,-26189,0.4,-26189,0.4,-24211,0.4,-15862,0.4,-26197,0.4,-26183,0.4,-26183,0
0.5,-17764,0.5,-19905,0.5,-19228,0.5,-26217,0.5,-15821,0.5,-17259,0.5,-18974,0.5,-26207,0.5,-19860,0.5,-18078,0.5,-19960,0.5,-18912,0.5,-18423,0.5,-16689,0.5,-19737,0.5,-19416,0.5,-20809,0.5,-24715,0.5,-22523,0.5,-22632,0.5,-19180,0.5,-19653,0.5,-24642,0.5,-23115,0.5,-23735,0.5,-20301,0.5,-26178,0.5,-18149,0.5,-26215,0.5,-26191,0.5,-26191,0.5,-24227,0.5,-15864,0.5,-26206,0.5,-26186,0.5,-26186,0
0.6,-17718,0.6,-19885,0.6,-19172,0.6,-26204,0.6,-15794,0.6,-17228,0.6,-18950,0.6,-26223,0.6,-19816,0.6,-18057,0.6,-19940,0.6,-18856,0.6,-18379,0.6,-16601,0.6,-19669,0.6,-19362,0.6,-20859,0.6,-24735,0.6,-22516,0.6,-22661,0.6,-19170,0.6,-19462,0.6,-24550,0.6,-23032,0.6,-23643,0.6,-20242,0.6,-26116,0.6,-18126,0.6,-26214,0.6,-26184,0.6,-26184,0.6,-24202,0.6,-15813,0.6,-26208,0.6,-26190,0.6,-26190,0
0.7,-17685,0.7,-19847,0.7,-19152,0.7,-26184,0.7,-15809,0.7,-17248,0.7,-18933,0.7,-26215,0.7,-19858,0.7,-18071,0.7,-19963,0.7,-18880,0.7,-18450,0.7,-16654,0.7,-19724,0.7,-19409,0.7,-20838,0.7,-24748,0.7,-22618,0.7,-22723,0.7,-19167,0.7,-19485,0.7,-24551,0.7,-23100,0.7,-23652,0.7,-20250,0.7,-26088,0.7,-18219,0.7,-26219,0.7,-26187,0.7,-26187,0.7,-24290,0.7,-15894,0.7,-26214,0.7,-26193,0.7,-26193,0
0.8,-17779,0.8,-19908,0.8,-19202,0.8,-26188,0.8,-15846,0.8,-17278,0.8,-18979,0.8,-26204,0.8,-19912,0.8,-18131,0.8,-20027,0.8,-18960,0.8,-18431,0.8,-16658,0.8,-19754,0.8,-19445,0.8,-20863,0.8,-24760,0.8,-22619,0.8,-22754,0.8,-19231,0.8,-19529,0.8,-24565,0.8,-23132,0.8,-23697,0.8,-20271,0.8,-26120,0.8,-18263,0.8,-26214,0.8,-26194,0.8,-26194,0.8,-24287,0.8,-15916,0.8,-26215,0.8,-26196,0.8,-26196,0
0.9,-17843,0.9,-19985,0.9,-19280,0.9,-26223,0.9,-15906,0.9,-17347,0.9,-18988,0.9,-26234,0.9,-19938,0.9,-18171,0.9,-20053,0.9,-18991,0.9,-18476,0.9,-16699,0.9,-19783,0.9,-19446,0.9,-20946,0.9,-24769,0.9,-22669,0.9,-22761,0.9,-19283,0.9,-19600,0.9,-24598,0.9,-23162,0.9,-23722,0.9,-20309,0.9,-26141,0.9,-18264,0.9,-26205,0.9,-26187,0.9,-26187,0.9,-24274,0.9,-15947,0.9,-26219,0.9,-26191,0.9,-26191,0
1,-17830,1,-19948,1,-19274,1,-26215,1,-15906,1,-17326,1,-19025,1,-26232,1,-19908,1,-18130,1,-20025,1,-18973,1,-18516,1,-16762,1,-19797,1,-19465,1,-20939,1,-24811,1,-22657,1,-22771,1,-19287,1,-19587,1,-24570,1,-23110,1,-23707,1,-20298,1,-26088,1,-18252,1,-26209,1,-26187,1,-26187,1,-24281,1,-15903,1,-26206,1,-26193,1,-26193,0
1.1,-17828,1.1,-19961,1.1,-19261,1.1,-26211,1.1,-15884,1.1,-17298,1.1,-18996,1.1,-26218,1.1,-19883,1.1,-18143,1.1,-20004,1.1,-18960,1.1,-18433,1.1,-16682,1.1,-19755,1.1,-19448,1.1,-20869,1.1,-24762,1.1,-22620,1.1,-22701,1.1,-19243,1.1,-19547,1.1,-24554,1.1,-23081,1.1,-23676,1.1,-20292,1.1,-26079,1.1,-18239,1.1,-26209,1.1,-26193,1.1,-26193,1.1,-24256,1.1,-15917,1.1,-26218,1.1,-26187,1.1,-26187,0
1.2,-17793,1.2,-19939,1.2,-19227,1.2,-26220,1.2,-15848,1.2,-17280,1.2,-18978,1.2,-26206,1.2,-19907,1.2,-18145,1.2,-20022,1.2,-18970,1.2,-18442,1.2,-16647,1.2,-19700,1.2,-19421,1.2,-20909,1.2,-24761,1.2,-22609,1.2,-22716,1.2,-19237,1.2,-19588,1.2,-24630,1.2,-23110,1.2,-23725,1.2,-20300,1.2,-26148,1.2,-18191,1.2,-26214,1.2,-26185,1.2,-26185,1.2,-24240,1.2,-15897,1.2,-26219,1.2,-26193,1.2,-26193,0
1.3,-17757,1.3,-19900,1.3,-19190,1.3,-26208,1.3,-15853,1.3,-17290,1.3,-18962,1.3,-26227,1.3,-19870,1.3,-18072,1.3,-19965,1.3,-18902,1.3,-18401,1.3,-16597,1.3,-19679,1.3,-19390,1.3,-20872,1.3,-24755,1.3,-22579,1.3,-22682,1.3,-19205,1.3,-19582,1.3,-24600,1.3,-23110,1.3,-23697,1.3,-20291,1.3,-26144,1.3,-18130,1.3,-26215,1.3,-26194,1.3,-26194,1.3,-24203,1.3,-15887,1.3,-26233,1.3,-26186,1.3,-26186,0
1.4,-17703,1.4,-19881,1.4,-19164,1.4,-26207,1.4,-15805,1.4,-17230,1.4,-18921,1.4,-26208,1.4,-19817,1.4,-18030,1.4,-19893,1.4,-18860,1.4,-18384,1.4,-16594,1.4,-19654,1.4,-19353,1.4,-20893,1.4,-24736,1.4,-22548,1.4,-22639,1.4,-19187,1.4,-19548,1.4,-24597,1.4,-23079,1.4,-23691,1.4,-20253,1.4,-26166,1.4,-18061,1.4,-26211,1.4,-26186,1.4,-26186,1.4,-24196,1.4,-15798,1.4,-26218,1.4,-26177,1.4,-26177,0
1.5,-17634,1.5,-19818,1.5,-19089,1.5,-26203,1.5,-15770,1.5,-17221,1.5,-18886,1.5,-26223,1.5,-19762,1.5,-17990,1.5,-19884,1.5,-18774,1.5,-18378,1.5,-16615,1.5,-19706,1.5,-19340,1.5,-20825,1.5,-24733,1.5,-22548,1.5,-22676,1.5,-19149,1.5,-19530,1.5,-24575,1.5,-23088,1.5,-23673,1.5,-20267,1.5,-26143,1.5,-18065,1.5,-26203,1.5,-26189,1.5,-26189,1.5,-24183,1.5,-15812,1.5,-26220,1.5,-26184,1.5,-26184,0
1.6,-17689,1.6,-19883,1.6,-19137,1.6,-26194,1.6,-15808,1.6,-17239,1.6,-18914,1.6,-26222,1.6,-19857,1.6,-18066,1.6,-19955,1.6,-18874,1.6,-18396,1.6,-16659,1.6,-19729,1.6,-19342,1.6,-20864,1.6,-24751,1.6,-22588,1.6,-22748,1.6,-19201,1.6,-19485,1.6,-24533,1.6,-23086,1.6,-23685,1.6,-20249,1.6,-26067,1.6,-18167,1.6,-26211,1.6,-26186,1.6,-26186,1.6,-24253,1.6,-15846,1.6,-26219,1.6,-26189,1.6,-26189,0
